generation_idx	max_steps	mean_steps	max_apples	mean_apples	max_score	mean_score
651	12000	1435.976	69	9.888	2.661053860131952E31	1.0464795368904552E29
652	13000	1080.076	70	7.482	4.673028769460189E31	1.9121317312869043E29
653	11400	964.262	69	7.502	2.020768515201709E31	4.063731754721383E28
654	13000	1113.88	70	8.374	6.41696406830343E31	2.5448211887231792E29
655	13400	1098.27	66	7.174	1.775391388109154E32	3.739764894382151E29
656	13800	1775.664	70	11.136	7.756699454605121E32	4.3765600298801776E30
657	13000	1592.43	71	10.792	1.3590301668329298E32	5.1966565703895556E29
658	13800	1976.572	71	12.43	7.756699454605121E32	4.274021161433214E30
659	12800	1544.346	69	10.606	2.623103164525363E31	1.8570106836685623E29
660	13000	1649.82	68	10.482	4.0527496729939885E31	2.7526885107440645E29
661	11400	1615.548	69	9.98	3.1503923370395817E31	1.7832918216768863E29
662	12000	1317.592	68	8.682	1.2342511659834284E31	4.4920063373719784E28
663	13800	1674.552	71	11.558	7.756699454605121E32	2.317448657988192E30
664	12200	1627.946	70	10.892	8.486979466976694E31	1.7588977258808698E29
665	13400	2070.588	69	13.874	1.775391388109154E32	6.361374942243758E29
666	13400	1986.024	72	13.024	1.780165368971537E32	1.7806270735375327E30
667	13600	1767.086	70	12.682	3.712157844854171E32	1.6606445490957646E30
668	13200	1289.228	70	9.208	8.485384214744322E31	4.199789276066199E29
669	13800	1604.932	69	10.742	7.756699454605121E32	2.1361245492209897E30
670	13800	1434.352	72	10.63	7.756699454605121E32	3.211604516686191E30
671	11000	1271.388	69	10.12	2.754084132809577E31	5.5662875098783495E28
672	13200	1623.248	73	12.372	5.842909329610937E32	1.9918731855484262E30
673	12800	1313.992	70	9.384	4.418634333684708E31	1.2934427167726144E29
674	13800	1501.874	71	11.648	7.756699454605121E32	2.2663197226266704E30
675	13400	1440.772	67	9.754	1.775391388109154E32	7.332616903211123E29
676	13400	1364.008	66	9.58	1.775391388109154E32	3.5727261449346705E29
677	8400	1233.164	41	7.652	1.3033698796586926E24	4.288839792448984E21
678	10600	1265.286	67	8.756	7.146646609494407E30	1.4312480826626858E28
679	11000	1446.974	70	9.164	4.0752371354495445E31	1.1370411527467904E29
680	12200	1027.988	68	7.164	1.5390768571940948E31	3.6537484205865836E28
681	13400	1214.626	68	8.826	1.775391388109154E32	5.630426753279753E29
682	11400	953.244	66	6.744	4.129277143705277E30	8.779333710307075E27
683	10600	947.712	57	6.634	5.363859213792299E27	2.427266268750164E25
684	11600	880.702	68	6.37	1.5564440312192434E31	3.160136058035236E28
685	8200	1037.104	68	7.752	1.185827267854132E31	2.4780709279794194E28
686	8600	899.618	71	6.966	1.264177639902972E32	2.841749388477556E29
687	8800	905.334	57	5.874	2.774049043920553E27	5.56159260288489E24
688	10800	844.246	58	6.41	1.1346476987588285E28	4.2487517467679135E25
689	13200	1015.872	65	8.18	8.485384214744322E31	1.8019814517995808E29
690	13600	757.04	70	6.63	3.712157844854171E32	1.05698690777527E30
691	13200	986.942	66	8.47	8.485384214744322E31	2.1584968221586657E29
692	12000	985.998	59	7.622	9.961241799803158E29	1.9929834387106394E27
693	13200	556.462	65	4.974	8.485384214744322E31	1.69712750265824E29
694	9400	834.812	63	7.234	3.3417967191432106E29	7.472551545086269E26
695	13800	895.808	68	6.746	7.756699454605121E32	1.5514687116370583E30
696	8000	818.172	57	6.598	2.8650800984009105E27	5.76620088938876E24
697	13400	963.586	68	7.428	1.775391388109154E32	4.140001960714466E29
698	10600	791.052	66	6.712	1.6267235040460872E30	3.411286514241194E27
699	10600	889.048	52	5.844	5.363859213792299E27	1.0727856953803223E25
700	12800	1061.738	63	7.272	1.9342813113834067E31	7.700823475953232E28
701	12800	935.646	70	7.22	6.146425717294987E31	1.9414906166444427E29
702	13400	1068.608	66	7.26	1.775391388109154E32	5.378161218348839E29
703	13400	1030.91	70	7.95	1.775391388109154E32	6.53808833431079E29
704	13400	1281.358	70	10.906	1.775391388109154E32	5.342672319188632E29
705	13000	1155.894	69	8.59	4.0527496729939885E31	1.508203504778998E29
